State_Name,Year,Position,Candidate,Sex,Party,Candidate_Type,Constituency_Name,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Gujarat,2009,1,KOLI PATEL SOMABHAI GANDALAL,M,INC,GEN,SURENDRANAGAR,GEN,20,39.73,42.25,BJP
Gujarat,2009,1,KUVARJIBHAI MOHANBHAI BAVALIA,M,INC,GEN,RAJKOT,GEN,27,44.64,47.34,
Gujarat,2009,1,RADADIYA VITTHALBHAI HANSRAJBHAI,M,INC,GEN,PORBANDAR,GEN,7,47.67,49.87,INC
Gujarat,2009,1,AHIR VIKRAMBHAI ARJANBHAI MADAM,M,INC,GEN,JAMNAGAR,GEN,22,45.79,47.33,INC
Gujarat,2009,1,SOLANKI DINUBHAI BOGHABHAI,M,BJP,GEN,JUNAGADH,GEN,16,57.88,46.75,
Gujarat,2009,1,KACHHADIA NARANBHAI,M,BJP,GEN,AMRELI,GEN,16,39.96,47.21,
Gujarat,2009,1,RAJENDRASINH GHANSHYAMSINH RANA (RAJUBHAI RANA),M,BJP,GEN,BHAVNAGAR,GEN,16,45.11,34.23,BJP
Gujarat,2009,1,SOLANKI BHARATBHAI MADHAVSINH,M,INC,GEN,ANAND,GEN,15,48.39,51.57,INC
Gujarat,2009,1,DINSHA PATEL,M,INC,GEN,KHEDA,GEN,9,41.6,47.12,INC
Gujarat,2009,1,CHAUHAN PRABHATSINH PRATAPSINH,M,BJP,GEN,PANCHMAHAL,GEN,5,42.62,46.5,INC
Gujarat,2009,1,DR. PRABHA KISHOR TAVIAD,F,INC,ST,DAHOD,ST,7,44.73,46.89,INC
Gujarat,2009,1,BALKRISHNA  KHANDERAO SHUKLA (BALU SHUKLA),M,BJP,GEN,VADODARA,GEN,7,49.02,57.4,
Gujarat,2009,1,RATHWA RAMSINGBHAI PATALBHAI,M,BJP,ST,CHHOTA UDAIPUR,ST,4,54.18,46.2,BJP
Gujarat,2009,1,MANSUKHBHAI DHANJIBHAI VASAVA,M,BJP,GEN,BHARUCH,GEN,15,57.14,41.5,BJP
Gujarat,2009,1,CHAUDHARI TUSHARBHAI AMRASINHBHAI,M,INC,ST,BARDOLI,ST,12,57.81,47.86,INC
Gujarat,2009,1,SHRIMATI DARSHANA VIKRAM JARDOSH,F,BJP,GEN,SURAT,GEN,15,48.97,52.45,
Gujarat,2009,1,C. R. PATIL,M,BJP,GEN,NAVSARI,GEN,14,46.66,55.89,
Gujarat,2009,1,KISHANBHAI VESTABHAI PATEL,M,INC,ST,VALSAD,ST,7,56.11,46.2,INC
Haryana,2009,1,SELJA,F,INC,SC,AMBALA,SC,7,68.51,37.19,INC
Haryana,2009,1,NAVEEN JINDAL,M,INC,GEN,KURUKSHETRA,GEN,14,75.04,45.37,INC
Haryana,2009,1,ASHOK TANWAR,M,INC,SC,SIRSA,SC,15,74.93,42.35,
Haryana,2009,1,BHAJAN LAL S/O KHERAJ,M,HJCBL,GEN,HISAR,GEN,38,69.35,29.99,INC
Haryana,2009,1,ARVIND KUMAR SHARMA,M,INC,GEN,KARNAL,GEN,23,66.64,37.57,INC
Haryana,2009,1,JITENDER SINGH,M,INC,GEN,SONIPAT,GEN,21,64.75,47.57,
Haryana,2009,1,DEEPENDER SINGH,M,INC,GEN,ROHTAK,GEN,16,65.56,69.98,INC
Haryana,2009,1,SHRUTI CHOUDHRY,F,INC,GEN,BHIWANI-MAHENDRAGARH,GEN,29,71.29,35.03,
Haryana,2009,1,INDERJIT SINGH,M,INC,GEN,GURGAON,GEN,24,60.77,36.83,
Haryana,2009,1,AVTAR SINGH BHADANA,M,INC,GEN,FARIDABAD,GEN,23,56.66,41.26,INC
Himachal_Pradesh,2009,1,DR. RAJAN SUSHANT,M,BJP,GEN,KANGRA,GEN,10,55.15,48.69,RNP
Himachal_Pradesh,2009,1,VIRBHADRA SINGH,M,INC,GEN,MANDI,GEN,6,64.09,47.82,INC(I)
Himachal_Pradesh,2009,1,ANURAG SINGH THAKUR,M,BJP,GEN,HAMIRPUR,GEN,8,58.85,53.47,BJP
Himachal_Pradesh,2009,1,VIRENDER KASHYAP,M,BJP,SC,SHIMLA,SC,7,55.73,50.42,BJP
Jammu_&_Kashmir,2009,1,SHARIEF UD DIN SHARIQ,M,JKN,GEN,BARAMULLA,GEN,13,41.84,46.01,
Jammu_&_Kashmir,2009,1,FAROOQ ABDULLAH,M,JKN,GEN,SRINAGAR,GEN,15,25.55,52.0,JKN
Jammu_&_Kashmir,2009,1,MIRZA MEHBOOB BEG,M,JKN,GEN,ANANTNAG,GEN,13,27.1,46.53,
Jammu_&_Kashmir,2009,1,HASSAN KHAN,M,IND,ST,LADAKH,GEN,5,71.86,29.84,JKN
Jammu_&_Kashmir,2009,1,CH. LAL SINGH,M,INC,GEN,UDHAMPUR,GEN,14,44.88,37.9,INC
Jammu_&_Kashmir,2009,1,MADAN LAL SHARMA,M,INC,GEN,JAMMU,GEN,21,49.03,45.33,INC
Jharkhand,2009,1,DEVIDHAN BESRA,M,BJP,ST,RAJMAHAL,ST,12,55.18,26.12,
Jharkhand,2009,1,SHIBU SOREN,M,JMM,ST,DUMKA,ST,19,55.13,33.52,JMM
Jharkhand,2009,1,NISHIKANT DUBEY,M,BJP,GEN,GODDA,GEN,23,56.48,23.76,
Jharkhand,2009,1,INDER SINGH NAMDHARI,M,IND,GEN,CHATRA,GEN,11,45.67,22.86,JD(U)
Jharkhand,2009,1,BABULAL MARANDI,M,JVM,ST,KODARMA,GEN,16,56.14,25.55,IND
Jharkhand,2009,1,RAVINDRA KUMAR PANDEY,M,BJP,GEN,GIRIDIH,GEN,17,45.98,37.7,BJP
Jharkhand,2009,1,PASHUPATI NATH SINGH,M,BJP,GEN,DHANBAD,GEN,32,45.03,32.03,
Jharkhand,2009,1,SUBODH KANT SAHAY,M,INC,GEN,RANCHI,GEN,26,44.56,42.88,INC
Jharkhand,2009,1,ARJUN MUNDA,M,BJP,ST,JAMSHEDPUR,GEN,26,51.12,45.3,
Jharkhand,2009,1,MADHU KORA,M,IND,ST,SINGHBHUM,ST,9,60.57,44.29,
Jharkhand,2009,1,KARIA MUNDA,M,BJP,ST,KHUNTI,ST,9,52.03,41.19,BJP
Jharkhand,2009,1,SUDARSHAN BHAGAT,M,BJP,ST,LOHARDAGA,ST,15,53.21,27.69,
Jharkhand,2009,1,KAMESHWAR BAITHA,M,JMM,SC,PALAMAU,SC,21,45.95,25.8,BSP
Jharkhand,2009,1,YASHWANT SINHA,M,BJP,GEN,HAZARIBAGH,GEN,13,53.08,31.81,BJP
Karnataka,2009,1,KATTI RAMESH VISHWANATH,M,BJP,GEN,CHIKKODI,GEN,7,67.56,50.48,
Karnataka,2009,1,ANGADI SURESH CHANNABASAPPA,M,BJP,GEN,BELGAUM,GEN,10,54.75,50.93,BJP
